ID,Funct,Pronoun,PPron,I,We,You,SheHe,They,iPron,Article,Verb,AuxVerb,enPast,enPresent,enFuture,Adverb,Preps,Conj,Negate,Quant,Number,Swear,YouPL,PrepEnd,SpecArt,QuanUnit,Interjunction,MultiFun,TenseM,PastM,PresentM,FutureM,ProgM,Social,Family,Friend,Humans,Affect,PosEmo,NegEmo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhibition,Inclusive,Exclusive,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relative,Motion,Space,Time,Work,Achieve,Leisure,Home,Money,Religion,Death,Assent,Nonfl,Filler,Psychology,Love,tPast,tNow,tFuture,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenth,OtherP,WordCount,WordPerSentence,RateDicCover,RateNumeral,RateSixLtrWord,RateFourCharWord,RateLatinWord,NumAtMention,NumEmotion,NumHashTag,NumURLs
res10,0.279776,0.0422825,0.0268711,0.0177823,0.000948392,0.00458389,0.00245001,0.000395163,0.0159646,0.0,0.0791907,0.021734,0.0,0.0,0.0,0.0614084,0.024105,0.0185727,0.000711294,0.0124081,0.00916779,0.00150162,0.00102742,0.00980005,0.00395163,0.0187307,0.0746858,0.0621197,0.0378566,0.0033984,0.00371453,0.00474196,0.0260017,0.0370663,0.0033984,0.00173872,0.0100371,0.0498696,0.0283727,0.00987908,0.00237098,0.00703391,0.00118549,0.114439,0.0140678,0.00703391,0.0172291,0.0135146,0.00980005,0.00134355,0.0196001,0.0173081,0.0172291,0.00537422,0.00490002,0.00316131,0.0216549,0.00987908,0.00331937,0.00308227,0.00648068,0.0588003,0.016834,0.0269501,0.0195211,0.0174662,0.00584842,0.0129614,0.00158065,0.00237098,0.00158065,0.00331937,0.0585632,0.0103533,0.00616455,0.0111436,0.000158065,0.00110646,0.00118549,0.000869359,0.00324034,0.0180194,0.0655181,0.0104323,0.0219711,0.0175452,0.00221291,0.00134355,0.00134355,0.007271,0.0282147,12653,18.773,0.648147,0.0135936,0.024184,0.116573,0.0601438,0,0,11,0
res11,0.327098,0.057403,0.0342933,0.0207591,0.00160827,0.00922902,0.00155879,0.000321655,0.0233818,0.0,0.0895932,0.0183096,0.0,0.0,0.0,0.0701702,0.0248911,0.0261035,0.00141033,0.0115548,0.0120002,0.00284541,0.000940222,0.010862,0.00606196,0.0241241,0.0856839,0.0545329,0.0542359,0.00284541,0.00826405,0.00677949,0.036347,0.0411471,0.00212787,0.000544339,0.00868468,0.0409986,0.019423,0.0149941,0.00205364,0.00519596,0.00296912,0.138015,0.0144992,0.00863519,0.0158848,0.0162807,0.0096249,0.00242478,0.0252623,0.0209076,0.0170972,0.00376089,0.0052207,0.00445368,0.0196457,0.0100208,0.00447842,0.0016825,0.0038846,0.0790776,0.0208828,0.0305572,0.0336253,0.0166023,0.00823931,0.0189034,0.00381037,0.0020289,0.0025485,0.00348872,0.0579226,0.0134848,0.00796714,0.01346,0.000321655,0.00284541,0.00274644,0.00136085,0.00472585,0.0312005,0.023654,0.00356295,0.119087,0.0167508,0.000717538,0.00155879,0.00301861,0.00240004,0.0154889,40416,6.93718,0.741216,0.0141033,0.0191261,0.0658897,0.0426069,0,0,41,6
res12,0.273119,0.0401471,0.0280991,0.0180624,0.00141741,0.00639749,0.00132164,0.000191542,0.0123353,0.0,0.0832248,0.018637,0.0,0.0,0.0,0.0605654,0.022736,0.0204949,0.0011684,0.0146146,0.00915568,0.00109179,0.00078532,0.00900245,0.00536316,0.0189051,0.0684569,0.0564281,0.037523,0.00235596,0.00480769,0.00507585,0.0252643,0.0351096,0.0030072,0.00170472,0.00946215,0.052559,0.0343817,0.0111669,0.00160895,0.00411814,0.00178134,0.11527,0.0149977,0.00655072,0.0152276,0.0134462,0.00844698,0.00293059,0.0204758,0.0170472,0.0171813,0.00476938,0.00448207,0.00388829,0.0235405,0.0119139,0.00363929,0.00197288,0.00687634,0.0719813,0.0178325,0.0346882,0.0238469,0.0175452,0.00724027,0.0181773,0.0025475,0.00237511,0.00239427,0.00262412,0.0666373,0.00894499,0.00542063,0.012546,0.000574625,0.00111094,0.00155149,0.00078532,0.00390745,0.0174494,0.065603,0.00476938,0.0457593,0.0173537,0.00193457,0.0030072,0.00078532,0.00584202,0.0203034,52208,13.9258,0.667331,0.0148636,0.0227934,0.105214,0.0440354,0,0,49,5
res13,0.246603,0.0365378,0.0239635,0.0149801,0.00113321,0.00553197,0.00140668,0.000311006,0.0128495,0.0,0.0707181,0.0148621,0.0,0.0,0.0,0.0555217,0.0205192,0.0185853,0.00124939,0.0126529,0.00788775,0.001219,0.000759641,0.00923902,0.00542473,0.0180294,0.0655275,0.0534447,0.0319264,0.00243264,0.00461683,0.00478127,0.0200903,0.0325591,0.00335314,0.00154788,0.00878145,0.0528138,0.0366737,0.00926225,0.0014746,0.00414496,0.00131016,0.101311,0.0100112,0.00573931,0.0131409,0.0110318,0.00785915,0.00213414,0.0191894,0.0167836,0.0170892,0.0057125,0.00446847,0.00336208,0.020689,0.00932481,0.00363734,0.00201439,0.00666696,0.0632182,0.0154502,0.0307252,0.0211841,0.0185388,0.0076393,0.0157344,0.00194111,0.00284552,0.00311185,0.00222888,0.0698798,0.00801823,0.00504401,0.00950177,0.000400375,0.0012333,0.00123866,0.000564815,0.00368024,0.0146262,0.0807614,0.00977881,0.0176272,0.0145654,0.00343715,0.0025095,0.00558202,0.00618616,0.0304035,559475,21.9041,0.63366,0.0157862,0.0351079,0.138031,0.0578203,0,0,349,50
res14,0.30581,0.0432097,0.0267761,0.0177238,0.00139591,0.00556249,0.00145936,0.000190351,0.0167721,0.0,0.0873924,0.019585,0.0,0.0,0.0,0.0697532,0.0284469,0.0258878,0.00118441,0.0126478,0.00987712,0.00143821,0.000528754,0.0115057,0.00706415,0.0240689,0.0805398,0.058734,0.0414331,0.00342632,0.00592204,0.0072968,0.0247457,0.0387471,0.00361667,0.00135361,0.0110192,0.043527,0.0246399,0.0108289,0.00162856,0.00418773,0.00194581,0.1346,0.0148051,0.00816396,0.0186544,0.0152916,0.0111884,0.00260147,0.0258666,0.0193947,0.0166875,0.00403968,0.00501258,0.00395508,0.0184641,0.00826971,0.00310907,0.00253802,0.00526639,0.0789746,0.0190351,0.0362936,0.0288488,0.0201561,0.00867156,0.0182737,0.00188236,0.00401853,0.00274952,0.00298217,0.0517544,0.0111038,0.00645079,0.0122248,0.000613354,0.00154396,0.00198811,0.000824856,0.00662,0.0357014,0.0408198,0.00467418,0.049301,0.0242592,0.00236882,0.00264377,0.000761405,0.00486453,0.0199869,47281,11.782,0.698399,0.0189294,0.0217423,0.0813646,0.0484973,0,0,86,6
res15,0.324117,0.0514667,0.0350257,0.021941,0.00171506,0.00830918,0.00198119,0.000354841,0.016988,0.0,0.0948607,0.0211426,0.0,0.0,0.0,0.0735851,0.0289195,0.0274262,0.00121237,0.0153173,0.0129369,0.00131587,0.000946242,0.0108374,0.00644627,0.023109,0.0791738,0.0654533,0.0430983,0.00390325,0.00714117,0.00589923,0.0261547,0.0472529,0.00307529,0.00226211,0.0124786,0.0498108,0.0281211,0.0115767,0.00255781,0.0033562,0.00257259,0.141182,0.0167662,0.0085901,0.0195754,0.0168697,0.00993554,0.00340056,0.0270862,0.0233012,0.0192205,0.00445029,0.00595837,0.00476078,0.02373,0.01066,0.00430244,0.00292744,0.00765864,0.0812289,0.0214826,0.0349814,0.0302797,0.0184665,0.00825004,0.01582,0.00254302,0.00439115,0.00251345,0.00257259,0.0539949,0.00813176,0.00724466,0.0123899,0.000620971,0.00232125,0.00264652,0.00103495,0.00736294,0.0388107,0.0401266,0.00416938,0.0486427,0.0188361,0.00165592,0.00285351,0.00103495,0.00484949,0.0170915,67636,12.6541,0.723727,0.00876752,0.0128482,0.0688686,0.035351,0,0,107,6
res16,0.268637,0.0488919,0.03546,0.0231028,0.00255205,0.00765615,0.00107455,0.000268637,0.0135662,0.0,0.0832774,0.0186702,0.0,0.0,0.0,0.0600403,0.0279382,0.0245803,0.000671592,0.0126259,0.00873069,0.00134318,0.000940228,0.0100739,0.00456682,0.0194762,0.0651444,0.0492948,0.0306246,0.002955,0.0065816,0.00429819,0.0166555,0.0444594,0.00120887,0.00335796,0.00926797,0.047683,0.0251175,0.0132975,0.002955,0.00241773,0.00416387,0.125722,0.0145064,0.00738751,0.0185359,0.0134318,0.0114171,0.00322364,0.0264607,0.0196105,0.0173271,0.00483546,0.00470114,0.00335796,0.0163868,0.00537273,0.00429819,0.00241773,0.00496978,0.083949,0.0245803,0.0345198,0.0314305,0.0302216,0.0123573,0.0264607,0.00308932,0.0114171,0.00228341,0.00255205,0.0349228,0.00228341,0.00496978,0.0138348,0.000268637,0.00107455,0.00322364,0.00201478,0.0108798,0.0615178,0.0245803,0.00819342,0.101007,0.02364,0.00107455,0.00483546,0.000134318,0.00537273,0.0261921,7445,6.95145,0.751914,0.0146407,0.00980524,0.053996,0.0432505,0,0,28,1
res17,0.285809,0.040672,0.0218833,0.0114943,0.00309461,0.00375774,0.00132626,0.000221043,0.0190097,0.0,0.0837754,0.015473,0.0,0.0,0.0,0.0641026,0.0258621,0.0243148,0.000442087,0.0139257,0.0125995,0.00110522,0.00198939,0.0125995,0.00862069,0.0289567,0.0638815,0.0548187,0.0380195,0.00397878,0.005084,0.00729443,0.0216622,0.0424403,0.00198939,0.00176835,0.0112732,0.0439876,0.0245358,0.0132626,0.00176835,0.00641026,0.000884173,0.125774,0.0172414,0.00707339,0.0141468,0.0143678,0.0128205,0.00287356,0.0225464,0.0161362,0.0276304,0.00906278,0.00862069,0.00419982,0.0183466,0.00928382,0.00287356,0.00198939,0.00397878,0.0855438,0.0170203,0.0417772,0.0327144,0.0271883,0.0112732,0.0251989,0.00066313,0.00442087,0.00397878,0.00397878,0.0473033,0.00552608,0.00574713,0.0114943,0.0,0.00132626,0.00198939,0.000442087,0.00574713,0.0229885,0.0296198,0.00751547,0.0629973,0.0340407,0.000442087,0.00530504,0.00243148,0.0139257,0.0170203,4524,9.048,0.71618,0.0110522,0.0161362,0.0762599,0.0512821,0,0,2,1
res18,0.252128,0.0346911,0.0234578,0.0160161,0.00104624,0.00446028,0.00103051,0.000306792,0.011485,0.0,0.0724816,0.0159689,0.0,0.0,0.0,0.0531379,0.0208854,0.022443,0.000802379,0.0100612,0.00988027,0.00128223,0.000739447,0.0088891,0.00544359,0.0188323,0.0705071,0.0525007,0.034282,0.00238354,0.00651343,0.00381523,0.0215148,0.0308444,0.00272179,0.000943975,0.00822832,0.0356665,0.0204213,0.00838565,0.0013137,0.00329605,0.00108557,0.110209,0.0109658,0.00685169,0.0160476,0.0140023,0.00735514,0.00206888,0.0212394,0.0185255,0.0147968,0.00373657,0.00405123,0.00333538,0.0177546,0.00709555,0.00279259,0.00240714,0.00591558,0.0626642,0.01567,0.0275169,0.0230251,0.0169365,0.00593131,0.0120514,0.00134516,0.00346911,0.00235207,0.0023442,0.0465065,0.0140574,0.00575825,0.00934535,0.000613584,0.00127437,0.00291059,0.00088891,0.00313085,0.013782,0.0669514,0.00409843,0.0374129,0.0119334,0.00429509,0.00193515,0.000739447,0.00626957,0.0259672,127122,17.673,0.590362,0.0179591,0.0323075,0.131362,0.0582747,0,0,244,18
res19,0.297678,0.0445402,0.0267484,0.0171588,0.00151936,0.00502598,0.00166799,0.000319285,0.0181937,0.0,0.0861629,0.0175662,0.0,0.0,0.0,0.0648974,0.0261758,0.0260547,0.00141476,0.0133109,0.011219,0.00143678,0.00117805,0.0116704,0.00709032,0.0255263,0.0718666,0.0583025,0.0398115,0.00309926,0.00607742,0.00606091,0.0245629,0.0386114,0.00259281,0.0012386,0.0104924,0.0449201,0.0245134,0.0125952,0.00195975,0.00415621,0.00185515,0.127714,0.0152596,0.00907209,0.0158927,0.0160028,0.0100465,0.00241666,0.0234344,0.0194709,0.0186727,0.00580218,0.00615999,0.00349011,0.019047,0.00834544,0.00386995,0.00209187,0.0053838,0.079067,0.0193773,0.0372572,0.0284439,0.0225481,0.00921522,0.020715,0.00261483,0.00301119,0.00296715,0.00319285,0.0527646,0.00946294,0.00621504,0.0136081,0.000434888,0.00178359,0.00208086,0.000688114,0.00709583,0.0288237,0.0321267,0.00854362,0.0636643,0.0111034,0.00107896,0.00595631,0.00509755,0.0129531,0.0222949,181656,11.0604,0.706742,0.015188,0.015111,0.0684536,0.0487625,0,0,432,17
